Raw_Distance,Calibrated_Filtered_Distance
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
29.0,31.92
29.0,31.92
30.0,31.92
30.0,32.42
30.0,32.92
30.0,32.92
30.0,33.42
29.0,33.42
30.0,33.92
30.0,33.92
30.0,33.92
29.0,33.92
30.0,33.92
29.0,33.92
29.0,33.92
29.0,33.42
30.0,33.42
29.0,33.42
29.0,32.92
29.0,32.92
29.0,32.92
7.0,32.92
11.0,32.92
28.0,32.92
28.0,32.92
28.0,32.42
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
29.0,31.92
29.0,31.92
29.0,31.92
29.0,32.42
29.0,32.92
29.0,32.92
29.0,32.92
30.0,32.92
30.0,32.92
30.0,32.92
30.0,32.92
30.0,33.42
30.0,33.92
30.0,33.92
30.0,33.92
29.0,33.92
30.0,33.92
30.0,33.92
30.0,33.92
30.0,33.92
30.0,33.92
29.0,33.92
29.0,33.92
30.0,33.92
29.0,33.92
29.0,33.92
29.0,33.42
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
29.0,32.92
30.0,32.92
30.0,32.92
30.0,32.92
30.0,32.92
29.0,32.92
29.0,32.92
30.0,33.42
29.0,33.42
29.0,33.42
29.0,33.42
29.0,32.92
30.0,32.92
30.0,32.92
30.0,32.92
30.0,33.42
30.0,33.92
30.0,33.92
30.0,33.92
29.0,33.92
29.0,33.92
29.0,33.92
29.0,33.92
29.0,33.42
29.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
28.0,32.92
28.0,32.42
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
7257.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
29.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
28.0,31.92
26.0,31.92
28.0,31.92
30.0,31.92
30.0,31.92
30.0,31.92
30.0,31.92
3.0,31.92
2.0,31.92
2.0,31.92
3.0,30.92
1.0,19.42
1.0,6.92
1.0,6.42
1.0,5.92
3.0,5.92
3.0,5.92
4.0,5.92
1.0,5.42
1.0,4.92
2.0,4.92
2.0,5.42
2.0,5.92
4.0,5.92
2.0,5.92
2.0,5.92
1.0,5.92
2.0,5.92
3.0,5.92
1.0,5.92
3.0,5.92
2.0,5.92
4.0,5.92
3.0,5.92
1.0,5.92
1.0,5.92
2.0,5.92
4.0,6.42
2.0,5.92
4.0,6.42
2.0,5.92
1.0,5.92
2.0,5.92
2.0,5.92
1.0,5.92
1.0,5.92
2.0,5.92
1.0,5.92
2.0,5.92
2.0,5.92
2.0,5.92
4.0,5.92
2.0,5.92
1.0,5.92
2.0,5.92
2.0,5.92
2.0,5.92
3.0,5.92
2.0,5.92
1.0,5.92
1.0,5.92
2.0,5.92
2.0,5.92
3.0,5.92
2.0,5.92
1.0,5.92
2.0,5.92
2.0,5.92
1.0,5.92
3.0,5.92
5.0,5.92
2.0,5.92
1.0,5.92
1.0,5.92
2.0,5.92
1.0,5.92
1.0,5.42
1.0,4.92
4.0,5.42
5.0,5.42
3.0,5.42
1.0,4.92
