timestamp,distance_cm,calibrated_distance_cm,flux,temperature_c
0.0,210.05,213.05,1847,28.0
0.01,209.91,212.91,1924,28.0
0.02,210.84,213.84,1507,28.0
0.03,210.2,213.2,1894,28.0
0.04,209.73,212.73,1675,28.0
0.05,210.54,213.54,1736,28.0
0.06,211.12,214.12,1647,28.0
0.07,210.65,213.65,1797,28.0
0.08,209.48,212.48,1627,28.0
0.09,209.05,212.05,1669,28.0
0.1,209.3,212.3,1975,28.0
0.11,210.49,213.49,1780,28.0
0.12,211.13,214.13,1846,28.0
0.13,211.0,214.0,2136,28.0
0.14,209.54,212.54,1799,28.0
0.15,210.29,213.29,1585,28.0
0.16,210.3,213.3,1534,28.0
0.17,208.78,211.78,1765,28.0
0.18,210.86,213.86,1937,28.0
0.19,208.88,211.88,1704,28.0
0.2,210.54,213.54,1853,28.0
0.21,210.99,213.99,1795,28.0
0.22,211.57,214.57,1684,28.0
0.23,208.83,211.83,1828,28.0
0.24,210.52,213.52,1743,28.0
0.25,211.58,214.58,1821,28.0
0.26,210.96,213.96,1723,28.0
0.27,210.59,213.59,1838,28.0
0.28,210.37,213.37,1878,28.0
0.29,210.74,213.74,1974,28.0
0.3,210.15,213.15,1718,28.0
0.31,211.01,214.01,1776,28.0
0.32,211.74,214.74,1824,28.0
0.33,211.54,214.54,1812,28.0
0.34,210.07,213.07,1776,28.0
0.35,210.9,213.9,1727,28.0
0.36,210.21,213.21,1843,28.0
0.37,212.24,215.24,1470,28.0
0.38,213.09,216.09,1781,28.0
0.39,210.86,213.86,1664,28.0
0.4,210.4,213.4,1779,28.0
0.41,211.1,214.1,1702,28.0
0.42,210.51,213.51,1892,28.0
0.43,212.27,215.27,1750,28.0
0.44,210.15,213.15,1919,28.0
0.45,210.46,213.46,1767,28.0
0.46,211.89,214.89,1590,28.0
0.47,211.17,214.17,1721,28.0
0.48,213.11,216.11,1717,28.0
0.49,210.86,213.86,1848,28.0
0.5,213.23,216.23,1636,28.0
0.51,211.28,214.28,2102,28.0
0.52,211.24,214.24,1508,28.0
0.53,212.71,215.71,1993,28.0
0.54,211.85,214.85,1501,28.0
0.55,210.84,213.84,1867,28.0
0.56,211.45,214.45,1624,28.0
0.57,213.2,216.2,1554,28.0
0.58,212.75,215.75,1756,28.0
0.59,212.26,215.26,1781,28.0
0.6,212.7,215.7,2057,28.0
0.61,213.14,216.14,1884,28.0
0.62,212.97,215.97,1837,28.0
0.63,212.98,215.98,1448,28.0
0.64,212.74,215.74,1868,28.0
0.65,212.78,215.78,2107,28.0
0.66,213.83,216.83,1615,28.0
0.67,214.17,217.17,1830,28.0
0.68,213.66,216.66,1815,28.0
0.69,213.78,216.78,1682,28.0
0.7,214.38,217.38,1705,28.0
0.71,214.82,217.82,1942,28.0
0.72,213.2,216.2,1835,28.0
0.73,215.59,218.59,1718,28.0
0.74,214.66,217.66,1906,28.0
0.75,212.52,215.52,1795,28.0
0.76,214.98,217.98,1854,28.0
0.77,213.43,216.43,1871,28.0
0.78,215.53,218.53,2078,28.0
0.79,213.92,216.92,1665,28.0
0.8,215.31,218.31,1713,28.1
0.81,213.99,216.99,1742,28.1
0.82,215.87,218.87,1816,28.1
0.83,216.01,219.01,1684,28.1
0.84,214.94,217.94,1681,28.1
0.85,214.25,217.25,1515,28.1
0.86,216.16,219.16,1561,28.1
0.87,215.89,218.89,1801,28.1
0.88,215.25,218.25,1937,28.1
0.89,217.13,220.13,1971,28.1
0.9,215.35,218.35,1792,28.1
0.91,216.48,219.48,1832,28.1
0.92,216.39,219.39,1693,28.1
0.93,217.1,220.1,2036,28.1
0.94,216.48,219.48,1777,28.1
0.95,218.2,221.2,1689,28.1
0.96,217.77,220.77,2006,28.1
0.97,217.41,220.41,1700,28.1
0.98,217.71,220.71,1654,28.1
0.99,216.99,219.99,1941,28.1
1.0,217.45,220.45,1697,28.1
1.01,217.7,220.7,1774,28.1
1.02,216.9,219.9,1841,28.1
1.03,217.24,220.24,1762,28.1
1.04,218.78,221.78,1861,28.1
1.05,218.45,221.45,1414,28.1
1.06,218.02,221.02,1825,28.1
1.07,217.53,220.53,1918,28.1
1.08,219.05,222.05,1704,28.1
1.09,217.73,220.73,1775,28.1
1.1,219.32,222.32,1602,28.1
1.11,220.7,223.7,2029,28.1
1.12,219.39,222.39,1642,28.1
1.13,217.6,220.6,1720,28.1
1.14,220.61,223.61,1955,28.1
1.15,219.55,222.55,1755,28.1
1.16,221.48,224.48,1812,28.1
1.17,220.04,223.04,1917,28.1
1.18,220.55,223.55,1947,28.1
1.19,221.17,224.17,1958,28.1
1.201,220.57,223.57,1901,28.1
1.211,221.17,224.17,1960,28.1
1.221,221.09,224.09,1662,28.1
1.231,222.11,225.11,1855,28.1
1.241,221.09,224.09,1839,28.1
1.251,221.96,224.96,2100,28.1
1.261,222.82,225.82,1832,28.1
1.271,222.4,225.4,1689,28.1
1.281,222.51,225.51,1460,28.1
1.291,222.66,225.66,1705,28.1
1.301,224.07,227.07,1868,28.1
1.311,222.08,225.08,1841,28.1
1.321,223.0,226.0,1937,28.1
1.331,221.38,224.38,1939,28.1
1.341,223.45,226.45,1840,28.1
1.351,224.23,227.23,2031,28.1
1.361,223.39,226.39,1779,28.1
1.371,223.85,226.85,1703,28.1
1.381,223.42,226.42,2149,28.1
1.391,224.24,227.24,1765,28.1
1.401,224.36,227.36,1880,28.1
1.411,225.44,228.44,1663,28.1
1.421,224.87,227.87,1712,28.1
1.431,226.29,229.29,1896,28.1
1.441,225.41,228.41,2069,28.1
1.451,225.87,228.87,1656,28.1
1.461,226.45,229.45,2079,28.1
1.471,225.94,228.94,1853,28.1
1.481,226.65,229.65,1759,28.1
1.491,227.03,230.03,1942,28.1
1.501,226.97,229.97,1720,28.1
1.511,228.33,231.33,1947,28.1
1.521,227.64,230.64,1634,28.1
1.531,228.45,231.45,1929,28.1
1.541,228.89,231.89,1721,28.1
1.551,229.46,232.46,1536,28.1
1.561,229.98,232.98,1844,28.1
1.571,229.95,232.95,1914,28.1
